AudioName,TrueLabel,PredLabel
a025_90_100,beach,park
a025_70_80,beach,library
a007_120_130,beach,park
a024_120_130,beach,park
a024_140_150,beach,forest_path
a024_170_180,beach,park
a024_150_160,beach,park
a024_70_80,beach,park
a024_10_20,beach,park
a024_0_10,beach,residential_area
a024_20_30,beach,park
b105_10_20,bus,metro_station
b105_0_10,bus,residential_area
b105_140_150,bus,residential_area
b105_130_140,bus,residential_area
b105_90_100,bus,residential_area
b105_150_160,bus,residential_area
b105_160_170,bus,residential_area
b105_210_220,bus,train
b105_220_230,bus,library
a093_69_79,bus,tram
a093_79_89,bus,park
a093_109_119,bus,tram
a093_89_99,bus,park
a142_207_217,bus,tram
a142_119_129,bus,tram
a142_78_88,bus,library
a111_150_160,bus,library
a111_100_110,bus,library
a111_110_120,bus,tram
b051_50_60,cafe/restaurant,city_center
b051_40_50,cafe/restaurant,grocery_store
b051_30_40,cafe/restaurant,park
b051_130_140,cafe/restaurant,grocery_store
b051_100_110,cafe/restaurant,grocery_store
b051_0_10,cafe/restaurant,library
b051_20_30,cafe/restaurant,city_center
b051_150_160,cafe/restaurant,grocery_store
b051_160_170,cafe/restaurant,city_center
b051_170_180,cafe/restaurant,park
a125_78_88,cafe/restaurant,tram
a125_88_98,cafe/restaurant,grocery_store
a125_213_223,cafe/restaurant,grocery_store
a125_193_203,cafe/restaurant,grocery_store
a125_203_213,cafe/restaurant,grocery_store
a125_148_158,cafe/restaurant,tram
a125_138_148,cafe/restaurant,tram
a125_128_138,cafe/restaurant,library
a125_38_48,cafe/restaurant,grocery_store
a125_48_58,cafe/restaurant,tram
a108_240_250,cafe/restaurant,grocery_store
a108_250_260,cafe/restaurant,grocery_store
a108_260_270,cafe/restaurant,grocery_store
a108_230_240,cafe/restaurant,grocery_store
a108_210_220,cafe/restaurant,grocery_store
a108_220_230,cafe/restaurant,grocery_store
a108_120_130,cafe/restaurant,home
a108_140_150,cafe/restaurant,grocery_store
a108_160_170,cafe/restaurant,grocery_store
a108_170_180,cafe/restaurant,grocery_store
a108_180_190,cafe/restaurant,grocery_store
a108_200_210,cafe/restaurant,grocery_store
a108_110_120,cafe/restaurant,grocery_store
a108_90_100,cafe/restaurant,grocery_store
a108_100_110,cafe/restaurant,grocery_store
a108_70_80,cafe/restaurant,grocery_store
a108_80_90,cafe/restaurant,grocery_store
a108_0_10,cafe/restaurant,home
a108_10_20,cafe/restaurant,grocery_store
a138_130_140,car,bus
a138_120_130,car,tram
a138_100_110,car,bus
a138_90_100,car,residential_area
a138_40_50,car,tram
a063_70_80,car,train
a063_80_90,car,bus
a063_60_70,car,train
a063_10_20,car,train
a063_0_10,car,residential_area
